id,candidatePrefecture,election,electiondistrict,teisu,name,kana,gender,age,newcomer,continuecount,touseki,license,kokujibi,tohyobi,tousen,twitter,candidatedistrictblock,localcandidate,birthday,age,candidatedistrict,image,hp,url,instagram,facebook,almaMater,detail
15,愛媛県,愛媛県議会議員選挙,松山市・上浮穴郡,16,浅岡　志麻,ｱｻｵｶ　ｼﾏ,女,47,新人,,有,公認,2023/3/31,2023/4/9,,mirailabo0913,四国,TRUE,,,愛媛県松山市・上浮穴郡,https://new-kokumin.jp/wp-content/uploads/2022/09/dbfb83af6f81d0fbd3d05c130500f9f0-e1668421112462.jpg,ミライ∞ラボ,https://sb-mirailabo.net/,shima.asaoka,shima.asaoka,松山大学,"1997年　松山大学人文学部英語英米文学科卒業
1998年　株式会社Egg & Chick入社
2000年　株式会社コンベックス入社
2018年　株式会社ミライ・ラボ創業
大学卒業後、子ども英語教室講師を経て、採用コンサルティング会社に創業メンバーとして参画。中小企業の新卒・中途採用サポートや、大学生の就職支援業務等に約１２年従事。 その後、2018年10月に「自ら考え、自ら選び、自ら学ぶ」“教えない”学習塾「STUDY BASEミライ∞ラボ」を開校し5年目。
株式会社ミライ・ラボ 代表取締役
NPO法人こどものみらいプロジェクトゆめドリ愛媛サテライト 副事務局長
カナエルエヒメ 代表"
16,愛媛県,愛媛県議会議員選挙,西条市,4,塩出　崇,ｼｵﾃﾞ　ﾀｶｼ,男,74,現職,2,有,推薦,2023/3/31,2023/4/9,,,四国,TRUE,,,愛媛県西条市,https://new-kokumin.jp/wp-content/uploads/2023/01/6210f5f35e1c0dd454a6bd7127599d5e-scaled-e1675387389607.jpg,愛媛県議会議員　塩出 崇,http://www.shiode-takashi.com/,,,皇學館大学,"愛媛県議会議員（現職）
【経歴】皇學館大学卒業
新居浜市立商業高等学校教諭
愛媛県立新居浜東高等学校教諭
愛媛県立丹原高等学校教諭
愛媛県立新居浜西高等学校教諭
西条市議会議員（１期）
西條神社宮司 保護司"
17,愛媛県,新居浜市議会議員選挙,,26,加藤　昌延,ｶﾄｳ　ﾏｻﾉﾌﾞ,男,48,新人,,有,公認,2023/4/16,2023/4/23,,estakihabu,四国,TRUE,,,愛媛県新居浜市,https://new-kokumin.jp/wp-content/uploads/2022/11/1ab143d07427d3e4f667e988a9020ad6-scaled.jpg,加藤 まさのぶ ,https://go2senkyo.com/seijika/185912,masanobukato2022,masanobu.kato.92,中日本自動車短期大学,"自動車整備士
キッズスクール「エストレージャ新居浜」代表
新居浜市金子小学校
新居浜市立南中学校
新居浜東高等学校
中日本自動車短期大学卒業"
18,茨城県,常総市議会議員選挙,,22,冨山　勝之,ﾄﾐﾔﾏ　ｶﾂﾕｷ,男,42,新人,,有,公認,2023/4/16,2023/4/23,,tomiyama_ka,北関東,TRUE,,,茨城県常総市,https://new-kokumin.jp/wp-content/uploads/2022/12/0483a629be693ca3ee4a5809121cefe6.jpg,常総市をBuild Up | とみやま勝之 公式HP,https://tomiyamakatsuyuki.com/,tomiyama.katsuyuki,,茨城県立水海道第一高等学校,茨城県立水海道第一高等学校卒/中央高等学校建築工学科卒
19,茨城県,水戸市議会議員選挙,,28,佐藤　昭雄,ｻﾄｳ　ｱｷｵ,男,47,現職,1,有,公認,2023/4/16,2023/4/23,,,北関東,TRUE,1975/12/1,47,茨城県水戸市,https://new-kokumin.jp/wp-content/uploads/2020/12/051929c3060ef4efcfcc6b96c8e60734-e1666147844118.png,佐藤 あきお,https://www.310akio.com/,,310akio,福島県立若松商業高等学校,2019年4月　水戸市議会議員 初当選
20,岡山県,岡山県議会議員選挙,岡山市中区,4,髙橋　徹,ﾀｶﾊｼ　ﾄｵﾙ,男,55,現職,2,有,公認,2023/3/31,2023/4/9,,0312_toru,中国,TRUE,1967/3/12,55,岡山県岡山市中区,https://new-kokumin.jp/wp-content/uploads/2022/07/5be9c0ca3f7d0d5823c43f05b7b29c69-e1665109789181.jpg,岡山県議会議員 髙橋とおる,https://www.takahashi-toru.net/,,takahashi.tohru.9,,"2005～2010　全天満屋労働組合中央執行委員長
2010～2014　連合岡山会長"
21,岡山県,岡山市議会議員選挙,岡山市中区,9,高橋　雄大,ﾀｶﾊｼ　ﾕｳﾀﾞｲ,男,41,現職,2,有,推薦,2023/3/31,2023/4/9,,,中国,TRUE,1981/4/11,41,岡山県岡山市中区,https://new-kokumin.jp/wp-content/uploads/2022/11/0b1b08c494bff95bb02430f20ef41b60-e1675039157440.jpg,,,,,,ー
22,岩手県,滝沢市議会議員選挙,,20,齋藤　明,ｻｲﾄｳ　ｱｷﾗ,男,70,現職,2,有,公認,,（2023/07/30）,,,東北,TRUE,,,岩手県滝沢市,,,,,,,
23,岩手県,盛岡市議会議員選挙,,38,千葉　伸行,ﾁﾊﾞ　ﾉﾌﾞﾕｷ,男,53,現職,2,有,公認,,（2023/08/27),,,東北,TRUE,,,岩手県盛岡市,,,,,,,
24,岩手県,岩手県議会議員選挙,盛岡市,11,軽石　義則,ｶﾙｲｼ　ﾖｼﾉﾘ,男,62,現職,3,有,公認,,（2023/09/10),,,東北,TRUE,,,岩手県盛岡市,,,,,,,
25,岐阜県,岐阜県議会議員選挙,大垣市,4,野村　美穂,ﾉﾑﾗ　ﾐﾎ,女,53,現職,3,有,公認,2023/3/31,2023/4/9,,,東海,TRUE,,,岐阜県大垣市,,,,,,,
26,岐阜県,岐阜県議会議員選挙,各務原市,3,伊藤　正博,ｲﾄｳ　ﾏｻﾋﾛ,男,71,現職,6,有,公認,2023/3/31,2023/4/9,,,東海,TRUE,,,岐阜県各務原市,,,,,,,
27,岐阜県,岐阜県議会議員選挙,可児市,2,伊藤　英生,ｲﾄｳ　ﾋﾃﾞｵ,男,50,現職,2,有,公認,2023/3/31,2023/4/9,,,東海,TRUE,,,岐阜県可児市,,,,,,,
28,岐阜県,大垣市議会議員選挙,,22,粥川　加奈子,ｶﾕｶﾜ　ｶﾅｺ,女,64,現職,4,有,公認,2023/4/16,2023/4/23,,,東海,TRUE,,,岐阜県大垣市,,,,,,,
29,岐阜県,大垣市議会議員選挙,,22,小原　一喜,ｵﾊﾗ　ｶｽﾞｷ,男,34,新人,,有,公認,2023/4/16,2023/4/23,,Oharakazuki309,東海,TRUE,,,岐阜県大垣市,,,,,,,
30,宮崎県,門川町議会議員選挙,,14,岩佐　祐一,ｲﾜｻ　ﾕｳｲﾁ,男,71,現職,3,有,公認,2023/2/14,2023/2/19,,,九州,FALSE,,,宮崎県門川町,,,,,,,
31,宮崎県,宮崎県議会議員選挙,宮崎市,12,吉村　大志郎,ﾖｼﾑﾗ　ﾀﾞｲｼﾛｳ,男,38,新人,,有,公認,2023/3/31,2023/4/9,,Shiro117385631,九州,TRUE,,,宮崎県宮崎市,,,,,,,
32,宮崎県,宮崎県議会議員選挙,延岡市,5,下田　英樹,ｼﾓﾀﾞ　ｴｲｼﾞｭ,男,59,新人,,有,公認,2023/3/31,2023/4/9,,LbtKqwBMbZFMnyy,九州,TRUE,,,宮崎県延岡市,,,,,,,
33,宮崎県,延岡市議会議員選挙,,27,日髙　祥一,ﾋﾀﾞｶﾞ　ｼｮｳｲﾁ,男,43,新人,,有,公認,2023/4/16,2023/4/23,,,九州,TRUE,,,宮崎県延岡市,,,,,,,
34,宮崎県,延岡市議会議員選挙,,27,前田　遼,ﾏｴﾀﾞ　ﾘｮｳ,男,27,新人,,有,公認,2023/4/16,2023/4/23,,ryomaeda_saw,九州,TRUE,,,宮崎県延岡市,,,,,,,
35,宮崎県,日向市議会議員選挙,,20,大畑　智広,ｵｵﾊﾀ　ﾄﾓﾋﾛ,男,40,新人,,有,公認,2023/4/16,2023/4/23,,,九州,TRUE,,,宮崎県日向市,,,,,,,
36,宮崎県,日向市議会議員選挙,,20,黒田　教太,ｸﾛﾀﾞ　ｷｮｳﾀ,男,29,新人,,有,公認,2023/4/16,2023/4/23,,kyota0498,九州,TRUE,,,宮崎県日向市,,,,,,,
37,宮崎県,宮崎市議会議員選挙,,40,恒吉　浩之,ﾂﾈﾖｼ　ﾋﾛﾕｷ,男,48,新人,,有,公認,2023/4/16,2023/4/23,,,九州,TRUE,,,宮崎県宮崎市,,,,,,,
38,宮崎県,延岡市議会議員選挙,,27,小御門　綾,ｺﾐｶﾄﾞ　ｱﾔ,女,51,新人,,有,公認,2023/4/16,2023/4/23,,,九州,TRUE,,,宮崎県延岡市,,,,,,,
39,宮崎県,宮崎市議会議員選挙,,40,田浦　洋志,ﾀｳﾗ　ﾋﾛｼ,男,49,新人,,有,公認,2023/4/16,2023/4/23,,,九州,TRUE,,,宮崎県宮崎市,,,,,,,
40,宮崎県,延岡市議会議員選挙,,27,早瀬　賢一,ﾊﾔｾ　ｹﾝｲﾁ,男,57,現職,4,有,公認,2023/4/16,2023/4/23,,,九州,TRUE,,,宮崎県延岡市,,,,,,,
41,宮崎県,延岡市議会議員選挙,,27,吉本　靖,ﾖｼﾓﾄ　ﾔｽｼ,男,64,現職,2,有,公認,2023/4/16,2023/4/23,,,九州,TRUE,,,宮崎県延岡市,,,,,,,
42,宮崎県,延岡市議会議員選挙,,27,甲斐　行雄,ｶｲ　ｲｸｵ,男,67,現職,2,有,公認,2023/4/16,2023/4/23,,,九州,TRUE,,,宮崎県延岡市,,,,,,,
43,宮崎県,宮崎市議会議員選挙,,40,黒木　通哲,ｸﾛｷﾞ　ﾂｳﾃﾂ,男,72,現職,6,有,公認,2023/4/16,2023/4/23,,,九州,TRUE,,,宮崎県宮崎市,,,,,,,
44,京都府,京都府議会議員選挙,京都市左京区,3,北岡　千はる,ｷﾀｵｶ　ﾁﾊﾙ,女,64,現職,8,有,公認,2023/3/31,2023/4/9,,,近畿,TRUE,,,京都府京都市左京区,,,,,,,
45,京都府,京都府議会議員選挙,京都市山科区,3,梶原　英樹,ｶｼﾞﾜﾗ　ﾋﾃﾞｷ,男,39,現職,1,有,公認,2023/3/31,2023/4/9,,kajiwarahideki,近畿,TRUE,,,京都府京都市山科区,,,,,,,
