,name,screen_name,followers_count
0,橋下徹,@hashimoto_lo,2686926
1,玉木雄一郎（国民民主党代表）,@tamakiyuichiro,298167
2,菅野志桜里,@ShioriYamao,106633
3,国民民主党,@DPFPnews,56349
4,前原誠司,@Maehara2016,36148
5,上松 正和🎍,@Uematsu1987,26822
6,矢田わか子／前参議院議員（国民民主党）,@wako0501,23582
7,大塚耕平,@kouhei1005mon,22656
8,伊藤たかえ（国民民主党 参議院議員）,@itotakae0630,18250
9,岸本周平,@shuheikishimoto,12905
10,古川元久 (Moto Furukawa),@Fullgen,10607
11,深作 ヘスス国民民主党神奈川19区（横浜市都筑区・川崎市宮前区）,@FukasakuKj,7871
12,浅野さとし🌿衆議院議員 | 茨城5区(日立市・高萩市・北茨城市・東海村),@Asano__Satoshi,7410
13,参議院議員 榛葉賀津也,@SHIMBA_OFFICE,6665
14,やったるい！ たるい良和【 国民民主党 】,@tarui_yoshikazu,5566
15,田村まみ(参議院議員、国民民主党 新緑風会派),@mamitamuratw,5532
16,はまぐち誠(国民民主党　参議院議員　浜口誠　比例代表),@HamaMako0518,4178
17,円より子(まどかよりこ) 国民民主党 衆議院 東京都17区(葛飾区全域),@madokayoriko,4148
18,石崎ひでゆき🐰国民民主党公認候補予定者（市川市議会議員選挙）,@h_ishizaki,4049
19,加藤健一 空飛ぶ車いす社長,@kenbo_yamagata,3927
20,中村たいすけ｜長崎県議会議員（長崎市選挙区）,@taisuke_nkmr,3818
21,大内 一也（国民民主党山口県連）,@ouchi_kazuya,3548
22,梅津ようせい 山形県議会議員,@umetsuyosei,3457
23,舟山やすえ(参議院議員),@yasue_funayama0,3360
24,深作ゆい｜横浜市都筑区・国民民主党🥟,@fukasakuyui,3323
25,大谷ゆりこ@国民民主党大阪府連副代表,@YurikoOtani,3086
26,江東区議会議員二瓶文隆,@NiheiFumitaka,2971
27,いしいともえ【衆議院愛媛1区（松山市）】国民民主党公認候補予定者,@tomoekakuda,2900
28,かわい たかのり(国民民主党・参議院議員),@T_KAWAI_SANGIIN,2839
29,岡たかし行政書士VISA申請☀️大田区長選挙/大田区議選特集note配信/おか高志,@okatakashi_oota,2815
30,斎藤アレックス（国民民主党🐰衆議院議員）,@AlexSaito2019,2704
31,田中けん🍵衆議院議員🍵静岡4区🍵国民民主党,@tanaka_shizuoka,2665
32,あさの克彦　埼玉4区 #比例は国民民主党,@katsuhikoasano,2480
33,竹詰 ひとし（国民民主党・参議院議員　比例代表選出）,@Takezume_H,2441
34,山崎まや,@YamazakiMaya,2345
35,鈴木あつし｜国民民主党・衆議院議員【神奈川18区（川崎市中原区・高津区）】,@suzukiatsushi_,2279
36,天野正基 MasakiAMANO,@AmanoMasaki,2203
37,Kisuzu 🎀 淀きすず【ガールズユニットMEiSM】【 国民民主党 #東かがわ市 】,@Kisuzu_udon,2187
38,大田京子／国民民主党福岡県連 代表,@kyoko_ohta,2120
39,見矢木すえん_横浜市神奈川区 国民民主党から令和5年横浜市政改革に挑戦,@Miyagi_Suen,2114
40,嘉田由紀子,@kadayukiko,2095
41,岡野純子　国民民主党千葉県第5区総支部 総支部長(市川市・浦安市),@junko_okano,2059
42,伊藤ひでお(岐阜県議会議員 可児市・御嵩町・国民民主党),@hideo_ito,2030
43,吉村大志郎（旧Shiro）_宮崎県議選2023・国民民主党公認候補予定者,@Shiro117385631,1996
44,いそざき哲史（国民民主党　参議院議員）,@IsozakiTetsuji,1976
45,はが道也（芳賀道也）＠山形,@hagamichiya,1972
46,榎本れい🐰国民民主党公認候補予定者(千葉県議会議員選挙・野田市),@ReiEnomoto,1955
47,中谷あやの🐰国民民主党公認候補予定者🐰船橋市議会,@nakataniayano,1910
48,橋本みきひこ:千葉県議会議員選挙成田市選挙区,@Hashimoto_Mkhk,1688
49,国民民主党東京都連,@dpfptokyo,1629
50,長谷川たかこ,@hasegawa_takako,1601
51,いそべ 裕和【千葉県議４期・国民民主党】,@hiro914,1596
52,坂本 雅彦（さかもと まさひこ）,@msakamoto1971,1586
53,みさわひろと@2023長岡市にて挑戦！,@New__wind,1566
54,坂元ゆうき【国民民主党】@目黒区,@rurukisakamoto,1499
55,浜野よしふみ（参議院議員・比例代表選挙選出）,@hamanoyoshifumi,1477
56,あべ力也(世田谷区議会議員),@abe_rikiya,1336
57,岩田 浩岳@島根県議会議員・国民民主党島根県連幹事長,@IwataHirotaka,1331
58,高沢かずもと,@takazawa1,1324
59,中山真珠🫧【静岡市清水区】,@shinju_nakayama,1296
60,国民民主党・大阪府連,@kokumin_osaka,1256
61,まえだりょう @サンドウェーブ,@ryomaeda_saw,1218
62,さとう由美（国民民主党衆議院東京第24区総支部長）DPFP衆議院候補予定者,@yumibetterworld,1214
63,うすきひでたけ／国民民主党北海道連代表,@hide_usuki,1174
64,関口太一,@SekiguchiTaichi,1129
65,国民民主党北海道総支部連合会,@KokuminHokkaido,1127
66,岩崎さやこ(国民民主党東久留米市政策委員),@IwasakiIwamo,1106
67,恒吉ひろゆき🐰国民民主党公認候補予定者（宮崎市議会議員選挙）,@nakahi,1105
68,国民民主党山形県連,@gokokuminymgt,1064
69,山根ふみ子-埼玉県議会議員（川越選出/無所属/埼玉民主フォーラム）,@yamanefumikogm1,1028
70,石黒たつお（練馬区議会議員　国民民主党）,@ishiguronerima,1025
71,ひちわ真理子🐰国民民主党　八千代市議会議員,@mariko_hichiwa,986
72,榎本あゆみ＠港区議会議員,@enoayu_minato,972
73,足立信也と安心な日本を創る会,@shinya8484,959
74,鈴木ゆうま（国民民主党　西東京市議会議員）,@suzuki_yuma1009,951
75,超国民民主党滋賀県連★ミ,@dpfp_shiga,951
76,国民民主党島根県総支部連合会,@dpfp_shimane,923
77,友保 陽子/Yoko Tomoyasu,@tomoyan_yoko,919
78,国民民主党栃木県総支部連合会,@dp_tochigi,912
79,元衆議院議員　高橋みほ(高橋美穂),@mihojimukyoku,895
80,小牧市議会議員 小川まゆみ,@mayumi_ogawa,892
81,梶原英樹🔥 山科の未来へ出発進行🚃,@kajiwarahideki,874
82,黒田太郎@愛知県議会議員【公式】,@kuroda__taro,871
83,国民民主党香川県総支部連合会,@kagawakokumin,847
84,高橋　雄大,@boasorte0411,839
85,鎌田やすはる＠国民民主党 和光市政策委員,@KamadaYasuharu,829
86,国民民主党和歌山県総支部連合会,@minshuwakayama,824
87,国民民主党長崎県連,@kokumin_ngsk,821
88,吉野正人(目黒区議会議員),@yoshinomasato,818
89,小椋直樹(野田市会議員),@NaokiOgura_noda,802
90,鴇田敦,@tokita812,802
91,国民民主党神奈川県総支部連合会,@kokumin_kng,792
92,「わたなべひろゆき」オネエでもやれば出来る‼️,@one_ehime,771
93,濱田知明 東京都北区@国民民主党,@tomoakikokumin,763
94,野田きよし @国民民主党福岡県連 (福岡市博多区担当) - 市政に挑戦!!,@kokumin_kuma,751
95,長友しんじ,@nagatomoshinji,736
96,福岡県議会議員 守谷正人,@masatomoriya,735
97,おくだ晋一☀️国民民主党公認候補予定者【名古屋市西区】,@okuda_shinichi,714
98,中野ヘンリ【国民民主党🐰　江戸川区議会議員候補予定者】,@Henry66239746,705
99,国民民主党宮崎県連_第1区総支部@宮崎市,@dpfpmiyazaki1,702
100,くわずるゆき子/国民民主党・渋谷区政策委員(渋谷区),@nadeshiko1000,697
101,丹野みどり,@tannomidori,693
102,興津秀憲（おきつひでのり）,@okitsutokyo,683
103,国民民主党福岡県連,@kokumin_fukuoka,655
104,はぎわら一樹　国民民主党公認候補予定者【船橋市議会】,@KHagi_Funabashi,654
105,流山市議 藤井としゆき,@fujii_toshiyuki,646
106,中村健太郎【国民民主党🐰田原市議会議員】,@nkm27,642
107,かなくぼなな子🌸国民民主党 新宿区政策委員,@Naxako75,639
108,国民民主党愛知県総支部連合会,@kokumin_aichi_,634
109,前川こうき【25歳　国民民主党🐰　高松市議会議員選挙　公認候補予定者】,@maekawa190,611
110,国民民主党山梨県連,@minshin_y,592
111,黒澤三千夫,@kurokumagaya,590
112,八王子市議会議員　伊藤忠之,@tadayuki802,588
113,国民民主党福島県総支部連合会,@dpfp_fukushima,582
114,国民民主党大分県連,@KokuminOita,573
115,国民民主党徳島県総支部連合会,@kokumin_tks,573
116,野村美穂,@nomuramiho3434,564
117,丸山幸一郎(広島市安佐南区),@maru_ko_enkai,564
118,小川陽平＠国民民主党【札幌市中央区】,@yoheiogawa_DPFP,558
119,石田しんご（前品川区議会議員）,@Ishida_shingo51,550
120,国民民主党 国会情報,@DPFP_DietInfo,534
121,山本 武志(敦賀市議会議員),@Yamatake914,530
122,あさおか志麻@国民民主党公認候補予定者(愛媛県議会),@mirailabo0913,525
