,name,screen_name,followers_count
84, 高橋みほ(高橋美穂)　元衆議院議員,@mihojimukyoku,890
85, 野田きよし @国民民主党福岡県連 (福岡市博多区担当) - 市政に挑戦!!,@kokumin_kuma,888
86, 黒田太郎@愛知県議会議員【公式】,@kuroda__taro,875
87, 国民民主党香川県総支部連合会,@kagawakokumin,861
88, 高橋　雄大,@boasorte0411,855
89, ちょうなん貴則（国民民主党『墨田区』政策委員）,@Takanori_Chonan,853
90, 小椋直樹(野田市会議員),@NaokiOgura_noda,841
91, 国民民主党長崎県連,@kokumin_ngsk,837
92, 国民民主党神奈川県総支部連合会,@kokumin_kng,833
93, 国民民主党和歌山県総支部連合会,@minshuwakayama,827
94, 吉野正人(目黒区議会議員),@yoshinomasato,824
95, はぎわら一樹　国民民主党公認候補予定者【船橋市議会】,@KHagi_Funabashi,814
96, 中野ヘンリ【国民民主党🐰　江戸川区議会議員候補予定者】,@Henry66239746,803
97, 長友しんじ,@nagatomoshinji,799
98, 鴇田敦,@tokita812,797
99, 「わたなべひろゆき」オネエでもやれば出来る‼️,@one_ehime,792
100, 濱田知明 東京北区@国民民主党,@tomoakikokumin,772
101, おくだ晋一☀️国民民主党公認候補予定者【名古屋市西区】,@okuda_shinichi,744
102, 丹野みどり,@tannomidori,737
103, 福岡県議会議員 守谷正人,@masatomoriya,729
104, 桜井けんいち＠かすみがうら市,@kennichisakurai,719
105, かなくぼなな子🌸国民民主党 新宿区政策委員 笑顔あふれる やさしい新宿つくります！,@Naxako75,715
106, 国民民主党宮崎県連_第1区総支部@宮崎市,@dpfpmiyazaki1,695
107, 国民民主党福岡県連,@kokumin_fukuoka,694
108, 前川こうき【25歳　国民民主党🐰　高松市議会議員選挙　公認候補予定者】,@maekawa190,681
109, 興津秀憲（おきつひでのり）,@okitsutokyo,671
110, 国民民主党愛知県総支部連合会,@kokumin_aichi_,663
111, 流山市議 藤井としゆき,@fujii_toshiyuki,658
112, 野村美穂,@nomuramiho3434,645
113, 中村健太郎【国民民主党🐰田原市議会議員】,@nkm27,644
114, 小川陽平＠国民民主党【札幌市中央区】,@yoheiogawa_DPFP,602
115, 国民民主党大分県連,@KokuminOita,596
116, 八王子市議会議員　伊藤忠之,@tadayuki802,594
117, 黒澤三千夫,@kurokumagaya,590
118, 丸山幸一郎(広島市安佐南区),@maru_ko_enkai,589
119, 国民民主党福島県総支部連合会,@dpfp_fukushima,587
120, いど裕子@香川県議会(丸亀選挙区)候補予定者,@yuuko_i10,584
121, 国民民主党徳島県総支部連合会,@kokumin_tks,577
122, 石田しんご【前品川区議会議員（国民民主党）】,@Ishida_shingo51,568
123, あさおか志麻@国民民主党公認候補予定者(愛媛県議会),@mirailabo0913,563
124, 国民民主党 国会情報,@DPFP_DietInfo,556
125, 福田とおる@国民民主党愛知県第16区総支部長,@Toru_Fukuta,554
126, 小笠原 浩【坂出市議会議員】,@oga1227,551
127, 山本 武志(敦賀市議会議員),@Yamatake914,551
128, とみやま勝之(冨山勝之)常総市,@tomiyama_ka,539
129, 二井 くみよ (横浜市会議員・磯子区)選挙ドットコムも更新中,@futaikumiyo,537
