,user_id
0,1397149717977464838
1,955724245295759361
2,1534435956509790208
3,1403481452218486789
4,1523842943865716736
5,1476197704489660422
6,1547807101149253636
7,1519821484700897280
8,1471757614493179913
9,235628182
10,1581120961058783233
11,1486707466389786624
12,1576945897103138819
13,117615554
14,1491349011156013056
15,1300747166755954688
16,104160668
17,1220622674436579328
18,1588287621209329665
19,1568746785069477889
20,1225048080363356161
21,1594621684706705408
22,1595470551845314561
23,1573666298311098372
24,1552995104788725762
25,64899582
26,2475505717
27,1580996224269881345
28,1580557717022048258
29,1594385946757193733
30,1582637218820243458
31,4036526292
32,1087363666649837568
33,1570319707797950466
34,1359834724089225216
35,1123056756563668992
36,1434435656088899584
37,2608379100
38,1471399132825026562
39,1051767898757165057
40,1496403206037188611
41,1589969118605717504
42,1570752273529147394
43,1472334984715583488
44,1279732169888301056
45,1001305813581901825
46,1583250301536309248
47,1454807999403286542
48,1324645591658344451
49,1557359056465137668
50,1587174315560243200
51,1583589881351110660
52,1560593372162961408
53,1042706835017363456
54,1588500383340847105
55,1460583328063815682
56,1484858891691507712
57,1575125649051865091
58,1591380312147300352
59,1569770047350149121
60,1583654526623416323
61,1534460069533822981
62,4905256039
63,1576532850035277827
64,1457247422691037184
65,1588715737027313665
66,1502975243307999234
67,2202605881
68,1591488245615202305
69,1435990568169926661
70,1591775525592518657
71,94693208
72,278872558
73,1591755199093227525
74,1591427852020260865
75,1541353755895279616
76,1590586969889067009
77,1475761128542466053
78,1591006281833189376
79,1588925081778262018
80,1590535593339277314
81,2222310673
82,990266165443227648
83,132706086
84,4524441
85,1132206823627296769
86,1200995970072248320
87,1546096228882333696
88,1528589462912978944
89,1358399203488108547
90,1146764785557467138
91,1574770247219163137
92,1580483681474560001
93,1574631453115269120
94,1565886621827928068
95,1494581638025691138
96,1574606005085741056
97,1560693012014907392
98,1583241726902288385
99,1581969996162514944
100,1576522152869646336
101,1379931103079768068
102,3118757820
103,1576978767729287170
104,1577901908651565056
105,1575654145779855361
106,1578030388542603268
107,1580597133194932224
108,1578949727831351297
109,1577976093163884544
110,1583535879318110210
111,1569961318517440516
112,1577053809460797440
113,1579127706893123585
114,1550757127949389824
115,1572914810588745730
116,1528698935815966720
117,1503151992625004545
118,1567848638759534593
119,1540327457609244672
120,1494537902662950915
121,1464749018827747332
122,1515313514919129091
123,1212242950408695808
124,1572972881877012480
125,1577186463564943360
126,250529047
127,859706234890461184
128,1446974192193191938
129,1205905063283064832
130,1574228796718424064
131,1581836851908075523
132,1556930976843870208
133,786207363355205635
134,1578717988572008451
135,1573090040976412673
136,1081666636317261824
137,1151602935916183552
138,1580460761234956288
139,1444789737898721281
140,1575427413378535425
141,1557522887531274241
142,1575712023404388352
143,1567913188691173377
144,1214052561646313472
145,1564174870417936385
146,1524444318320103424
147,1577319320501485568
148,1570264536560848896
149,1572430523263488006
150,1456228466114777101
151,196634670
152,1572656392049201154
153,598600363
154,1551916714002366464
155,1522823280994009090
156,1392185031238373376
157,1641744349
158,1568866739387092992
159,1547078912769130496
160,1461952005560147975
161,1555561592993247232
162,1566704059423277061
163,1439954375103766532
164,1263481516119769089
165,1435580372725551106
166,1568603955944632327
167,1567127964281671683
168,1456095573476446212
169,1499631888017014786
170,1567440879388065793
171,1566260975661207552
172,1712496733
173,943029186607722496
174,1240902026805964800
175,1554081375430778882
176,1567830892659318785
177,59532871
178,948268586790821888
179,1556846910853373952
180,1337308336060919810
181,1561358797301764097
182,1563764815780544513
183,1287203477991514114
184,1432660196707356675
185,947800699
186,1538817393585434629
187,1424305141625225216
188,6175562
189,1558722904392859648
190,114304759
191,979949136223981568
192,1556037303977525249
193,995564605890904065
194,1505180659421093888
195,1477816429974286340
196,2519674952
197,146380164
198,1550500392089268225
199,1389951017035321353
200,1047754447785357312
201,1367701003387080713
202,1553390634899324928
203,1511654344768516100
204,1555916687844655105
205,1423993040130039813
206,1557960440952414209
207,1555190311005343744
208,1558108933281431552
209,1528338875151970304
210,1483353869329797121
211,1555113937582321665
212,1547820794486882307
213,1555019486650302464
214,1494574868259827716
215,311946023
216,1519230473217716225
217,1149586179639005185
218,2876784140
219,1553767624160321537
220,306732750
221,4754015665
222,1356768438039928834
223,1552644013777653760
224,1552129534647971841
225,1546276537070075904
226,1434783143844728837
227,1478773129644474369
228,1503779408733437952
229,827151472760492033
230,881887525471526912
231,1062866599445594117
232,1540301330442780672
233,1543100211152945152
234,1495376272335470599
235,1331462407856635904
236,1549047103305187328
237,1539485219102683136
238,110133045
239,1530800345932529669
240,1547204190086131712
241,924630525377003520
242,1186436112685756421
243,1257006065117356033
244,1534157435015151616
245,1540712334372376576
246,1515514621255245825
247,269393430
248,4899364238
249,1181902436279054336
250,1106438367535747074
251,1484441387626295297
252,1195711250157539329
253,1539962454146695168
254,1174342565341982727
255,929698843993579522
256,1543208672116953088
257,821016428887228416
258,61778152
259,952385658781249536
260,1937733343
261,1507459348330868737
262,1498044478891839488
263,1540079518811291648
264,1494118298518052864
265,1233028917084114944
266,1421420227137392643
267,1489242395355258882
268,1455155428283740162
269,1073906602581716993
270,1527603102450589697
271,946301025052270593
272,1532969451011702784
273,1436014850975559680
274,759737997583523840
275,194940530
276,1505456774182498304
277,1523894726583234560
278,1432021231
279,855939553437171712
280,1477651754758320145
281,1335847128552206337
282,1522909407012700160
283,1501546680189329411
284,3063253194
285,1539007716487995392
286,1502642694769676289
287,2811721658
288,1537997088314626053
289,1512292216458211334
290,875433509195624448
291,1562836370
292,1515193500899627009
293,842889825711661056
294,1507229032991330305
295,2974959649
296,504158214
297,1533308051234557952
298,1048423081293709314
299,1535257010677030917
300,1525470512024940545
301,2372990426
302,1097680446
303,1375257537725878277
304,849283309859258368
305,318460444
306,1050968250887036929
307,257947017
308,1478756361572069377
309,1499576920841011200
310,1533641531474661377
311,1533267100579790849
312,997204616
313,1490431758793424909
314,365935741
315,1343563918552096770
316,1140123379808083968
317,1247813831880998912
318,1531597688780619777
319,204946062
320,116697363
321,1529749136593289216
322,1499209194263625728
323,1474703882496651264
324,1529785545060413440
325,1424262087577014272
326,1003239716139950080
327,1476170102
328,1478655891457343494
329,1400755753556733959
330,1519177753463242752
331,1220599926373044226
332,1507009500435611649
333,1520020363794468865
334,708843839402807296
335,1494112272670928897
336,1427718904814571520
337,1414947117961973767
338,1053627319883943937
339,1524553956328108033
340,1423788171708407810
341,1524153715522867201
342,1509125910867615749
343,1523586954469646338
344,1213988870204747784
345,232004933
346,1490861642292285442
347,1520774210104487938
348,1510917593510866948
349,1185719872468054018
350,1428660965696892930
351,829306046988562432
352,1352585012160262146
353,1439826511406649347
354,986768732050477056
355,1467507612459622404
356,384915914
357,96785342
358,1493519453451022338
359,1491402216397164545
360,2647429189
361,1501747940624416772
362,615138074
363,1517297856780341248
364,1494118300544286725
365,1513731043265679363
366,1371806571718606853
367,1115985999178420224
368,1448369655328874497
369,1471975044
370,3012096169
371,1457605923145494529
372,265482150
373,1507473921838247937
374,1097622676938473473
375,1490148891236261889
376,90622230
377,1515127271551500290
378,1360411748000387075
379,875313718929666048
380,1493757743056158720
381,901409446277955585
382,935065385371541504
383,1393126725467336709
384,18416637
385,2378573419
386,150022978
387,1003651032277233664
388,1501732113883668481
389,68288354
390,1449159721236062213
391,1485768587729985538
392,1340281056897822720
393,175303726
394,1494493066589532161
395,1494342608
396,1253466484518514689
397,1501119947447349251
398,1487776428028424200
399,1248191406536970240
400,965135080736808960
401,1293200360857731074
402,856747575403134976
403,1455481202291326985
404,1477413780074205188
405,231066895
406,3016735406
407,1501204128357310464
408,1454123131082215426
409,1443621528554258432
410,1438826981458464780
411,1257985431813025793
412,1494107744416444422
413,1474971878444134403
414,1276422312821059585
415,1348255414761054209
416,4700434261
417,1494104683912503299
418,1406223478433275915
419,1501474588080754690
420,1465900042078855170
421,1443888340579782676
422,1468421526299226113
423,1440896873783431169
424,1472445436632125444
425,1066811485
426,355380719
427,1502964115521912833
428,65025580
429,962255473884913664
430,124765830
431,1501858874227400704
432,1229331505
433,1361965883418169346
434,232782366
435,1499631000023826432
436,1190249220038520832
437,1497180894129491970
438,951973946139713536
439,119982188
440,1467460123010506754
441,1494201855143936000
442,1427990454109315081
443,819799113478729728
444,1081219698950324225
445,1463411968111353859
446,1496466449061216257
447,211821284
448,393264082
449,1323162951725953024
450,106041696
451,1310514666766872576
452,727484113305792514
453,1354240699093278720
454,1488761719795351553
455,1374824689
456,1494103226609979392
457,1458614990395809794
458,1451135300307095555
459,1399932624710160388
460,1474699850789056514
461,1458850423750934529
462,1444516571997634562
463,1486976582866857984
464,1428540204084695040
465,1235201835624837121
466,1463153431502221312
467,1469351734225305601
468,1461487620027187200
469,886482625682038784
470,901729966630383616
471,1427436669599326219
472,1456522627796054016
473,1455395867536465920
474,1471490328578621443
475,1487317007322075136
476,1935715328
477,222724788
478,106287083
479,217759338
480,1469538700086640643
481,946236963614420994
482,1454874314994450433
483,952177513886699520
484,235779672
485,1484037475521949697
486,1341014665598386178
487,1465957220357754883
488,346997313
489,1330943501916282882
490,729585481604718592
491,1478712931974250501
492,1266842868418633728
493,130088222
494,1447494644586086403
495,70899378
496,1441748782702489610
497,1451769694998851587
498,1463861008267718660
499,1442018376574910468
500,1432340009487515661
501,1473631900749410308
502,1168317259250487296
503,1456439064752979969
504,1462237407882145794
505,1040934005464428544
506,1457313907249676288
507,1339138105836597249
508,67430296
509,1457254119325171712
510,1448983769361235989
511,1382902552677601283
512,1414927921999847427
513,1458964671046717457
514,1466291835153055744
515,1455088904927776771
516,1463867869943455746
517,1438414667160772609
518,992670300499148800
519,4636154112
520,1299658304503730182
521,1423284358459269138
522,1468492781161426945
523,1228977893474062337
524,1434668356255162369
525,1101301440973168640
526,2611285658
527,425625223
528,1458396419073912832
529,1284616967983255552
530,1350417683804655618
531,1456473488370565120
532,2786085745
533,1466582180285792256
534,1098938123906662402
535,14585847
536,1455696307314565122
537,1443805578443190272
538,1315296857614999552
539,1420351100004159489
540,1459984087209619458
541,1284984447033470978
542,4879808254
543,1301326014488801285
544,3701191273
545,1462390456533278721
546,1464410963957121025
547,1427469196758159362
548,1268951723638263814
549,1450796494232047619
550,1441259992447815684
551,849916131447980032
552,1282516632212922369
553,1460788141628215297
554,1155729313041227776
555,2776430330
556,893051697265647617
557,1461836605317124097
558,1461334842407534592
559,1455205286201937924
560,1406031911311405056
561,1270983777599098881
562,1452188482370093059
563,4802972340
564,1128637244435156993
565,1202492857254203392
566,1258999744019304448
567,1267382515024580609
568,286009111
569,1443943036237410311
570,1457323464428519424
571,1400786776747221001
572,1352871249576300546
573,1000686899135102976
574,1455829034797989889
575,419676788
576,1456425614333059072
577,502476309
578,1404805920878702592
579,1451293075817467904
580,1453473986789068807
581,1081933625258520576
582,260812839
583,4262802734
584,760488630460657665
585,3551532493
586,1440315882496954370
587,1448835738129235969
588,1426176345252401163
589,1449326544933908485
590,1047468306582499335
591,216661927
592,1033709965100208131
593,751449591560609792
594,2915096604
595,1451002009109233669
596,1416353369933836288
597,1447378426759827457
598,1451178836939341832
599,1342384591114420226
600,1018468766219292673
601,1037106577432489984
602,1249999305747775489
603,1450245711652536320
604,1401984691985534982
605,866669955168706562
606,856126147637030913
607,1363872227473510402
608,114738914
609,1276455663091085312
610,1339061182003437568
611,130173988
612,1446232197820727301
613,3063288756
614,1009679046215548928
615,1368094426891841540
616,1049691555932426240
617,1109930541984301056
618,1270236737667624963
619,1258071638899191808
620,1432654848072159235
621,1386921769718583296
622,823006606837174272
623,1094154259254243330
624,1441787837943218186
625,343900283
626,1446862195950817280
627,1119476383351132160
628,1389552071901290497
629,897948467506552832
630,1039836193708376069
631,207862805
632,846697048715870209
633,1446042899620106241
634,360342689
635,1213176082616086528
636,1432300175192584192
637,1184453683616141312
638,187403088
639,119273540
640,1027735222387761152
641,1185562336079171586
642,1443749939981348876
643,1352648578276057088
644,1225054290986749954
645,1429141032
646,747827452248920065
647,42034114
648,1237685363612602369
649,2926117886
650,1274722686824968192
651,1257674115491586054
652,1382640564512825344
653,1367015719142002691
654,888694988
655,1439576534977630210
656,1435890502595870724
657,910693198497947649
658,1431654555159252997
659,1029920174684614656
660,1199623514384265216
661,830058927676993536
662,1263653368699867136
663,1437907081714028546
664,143801589
665,909737113008062464
666,124924035
667,144051915
668,1430139568666431537
669,1406811007641522178
670,1429489326304411654
671,28977548
672,633638200
673,510164714
674,1431545101059346437
675,1420140251494772736
676,1308996786149879809
677,1370995191461466115
678,1249906231361155072
679,1425729341791477760
680,3020398915
681,1432943448085041155
682,1186046714387415041
683,1357566361489211393
684,930211685272391680
685,1421753747986739203
686,1400108664233463808
687,948441791149178880
688,1225440001556541442
689,186741393
690,4123979354
691,1275640509663494148
692,410040841
693,1294500203559399429
694,977504627347226624
695,2352407984
696,1403280876113256450
697,1224685974485004288
698,2937185894
699,1320520431967715328
700,1054733841527648260
701,3194764428
702,1254392732132360192
703,1096965789150674945
704,1028552614210748420
705,1402511869638627328
706,1419930813764829185
707,1422617388009226247
708,1225892842767179776
709,1515820225
710,763707620
711,152140472
712,1369505354
713,1299084561675030529
714,828285775196217345
715,1390979743151919104
716,1200616541269610496
717,1407623188683493376
718,1406891973374406658
719,1389160979519262722
720,3897067572
721,1413896381790507009
722,1365126099152236546
723,1320228471956619264
724,1324561344738201601
725,1376033235017211906
726,1241244602431987712
727,3190703646
728,961014841111560192
729,1240675497157120000
730,1196757560667201537
731,1406372433557217280
732,1262833748292198402
733,1412935328957190146
734,1283704367435010049
735,1162632494530752513
736,1252418806909071360
737,1411947552144986115
738,482021125
739,1181856847487107077
740,1259325054644449281
741,1398437120843280388
742,1402890306324885505
743,1187054568191868928
744,911739527399563264
745,1174229125420277761
746,1355415504081436673
747,1390961297726926849
748,1389513549035184130
749,1124355081359335424
750,251116795
751,988745178138656768
752,1401801126974869506
753,3235929726
754,385913900
755,1356064878897754114
756,90352224
757,1391045630739369991
758,129776345
759,1301073066965884928
760,1400760454910119939
761,1400988147132076033
762,926632348879273985
763,989400553468739584
764,896236449107918848
765,1110215522
766,2546379222
767,1241416821573423105
768,1364855593169657856
769,1298411252671107072
770,1290122428656451585
771,1232635005983019009
772,1265629791559942144
773,1198477687515312128
774,1180499275
775,2343247026
776,1301067429951336448
777,863348273750327296
778,867315660564516865
779,1150194841671753729
780,1391736214596710402
781,860768429321539585
782,3777025333
783,1132423882114125825
784,1390668869501599746
785,1370595018180685824
786,4582782912
787,914043494708109317
788,2877850855
789,1287885828035813377
790,1382727772682915840
791,1388888926748696580
792,1388400405348900865
793,1055447764379754496
794,1247852282806337536
795,4653728359
796,2271670416
797,2320824894
798,1387080300614754306
799,1310567323116294145
800,1376065178429648897
801,594531823
802,306804934
803,923512918016114689
804,1248162838268370944
805,1381823288263860225
806,1275570921315565569
807,1366728234486784001
808,872294638110912513
