,name,screen_name,followers_count
0,橋下徹,@hashimoto_lo,2689595
1,玉木雄一郎（国民民主党代表）,@tamakiyuichiro,295646
2,菅野志桜里,@ShioriYamao,106966
3,国民民主党,@DPFPnews,55690
4,前原誠司,@Maehara2016,36057
5,上松 正和🎍,@Uematsu1987,26792
6,矢田わか子／前参議院議員（国民民主党）,@wako0501,22541
7,大塚耕平,@kouhei1005mon,22523
8,鎌田桂輔☀️Keisuke Kamada,@keisukekamada01,21305
9,伊藤たかえ（国民民主党 参議院議員）,@itotakae0630,16791
10,岸本周平,@shuheikishimoto,12708
11,古川元久 (Moto Furukawa),@Fullgen,10602
12,深作 ヘスス（国民民主党神奈川19区総支部長）,@FukasakuKj,7723
13,浅野さとし🌿衆議院議員 | 茨城5区(日立市・高萩市・北茨城市・東海村),@Asano__Satoshi,6850
14,参議院議員 榛葉賀津也,@SHIMBA_OFFICE,6440
15,やったるい！ たるい良和【 国民民主党 】,@tarui_yoshikazu,5562
16,田村まみ(参議院議員、国民民主党 新緑風会派),@mamitamuratw,5332
17,円より子(まどかよりこ) 国民民主党 衆議院 東京都17区(葛飾区全域),@madokayoriko,4144
18,はまぐち誠(国民民主党　参議院議員　浜口誠　比例代表),@HamaMako0518,4128
19,石崎ひでゆき🐰国民民主党公認候補予定者（市川市議会議員選挙）,@h_ishizaki,3973
20,加藤健一 空飛ぶ車いす社長,@kenbo_yamagata,3932
21,中村たいすけ | 長崎県議会議員（長崎市選挙区・国民民主党）,@taisuke_nkmr,3817
22,大内 一也（国民民主党山口県連）,@ouchi_kazuya,3524
23,梅津ようせい 山形県議会議員,@umetsuyosei,3445
24,舟山やすえ(参議院議員),@yasue_funayama0,3292
25,大谷ゆりこ@国民民主党大阪府連副代表,@YurikoOtani,3096
26,深作ゆい（横浜市都筑区・国民民主党）,@fukasakuyui,3042
27,江東区議会議員二瓶文隆,@NiheiFumitaka,2970
28,いしいともえ【衆議院愛媛1区（松山市）】国民民主党公認候補予定者,@tomoekakuda,2835
29,岡たかし行政書士VISA申請☀️大田区長選挙/大田区議選特集note配信/おか高志,@okatakashi_oota,2806
30,かわい たかのり(国民民主党・参議院議員),@T_KAWAI_SANGIIN,2791
31,田中けん🍵衆議院議員🍵静岡4区🍵国民民主党,@tanaka_shizuoka,2660
32,斎藤アレックス（国民民主党🐰衆議院議員）,@AlexSaito2019,2622
