,name,screen_name,followers_count
0,橋下徹,@hashimoto_lo,2690034
1,玉木雄一郎（国民民主党代表）,@tamakiyuichiro,294440
2,菅野志桜里,@ShioriYamao,107140
3,国民民主党,@DPFPnews,55374
4,前原誠司,@Maehara2016,35973
5,上松 正和🎍,@Uematsu1987,26698
6,大塚耕平,@kouhei1005mon,22509
7,矢田わか子／前参議院議員（国民民主党）,@wako0501,21659
8,鎌田桂輔☀️Keisuke Kamada,@keisukekamada01,20798
9,伊藤たかえ（国民民主党 参議院議員）,@itotakae0630,16659
10,岸本周平,@shuheikishimoto,12657
11,古川元久 (Moto Furukawa),@Fullgen,10590
12,深作 ヘスス（国民民主党神奈川19区総支部長）,@FukasakuKj,7660
13,浅野さとし🌿衆議院議員 | 茨城5区(日立市・高萩市・北茨城市・東海村),@Asano__Satoshi,6778
14,参議院議員 榛葉賀津也,@SHIMBA_OFFICE,6424
15,やったるい！ たるい良和【 国民民主党 】,@tarui_yoshikazu,5538
16,田村まみ(参議院議員、国民民主党 新緑風会派),@mamitamuratw,5226
17,円より子(まどかよりこ) 国民民主党 衆議院 東京都17区(葛飾区全域),@madokayoriko,4141
18,はまぐち誠(国民民主党　参議院議員　浜口誠　比例代表),@HamaMako0518,4112
19,加藤健一 空飛ぶ車いす社長,@kenbo_yamagata,3937
20,石崎ひでゆき🐰国民民主党公認候補予定者（市川市議会議員選挙）,@h_ishizaki,3898
21,中村たいすけ | 長崎県議会議員（長崎市選挙区・国民民主党）,@taisuke_nkmr,3795
22,大内 一也（国民民主党山口県連）,@ouchi_kazuya,3522
23,梅津ようせい 山形県議会議員,@umetsuyosei,3444
24,舟山やすえ(参議院議員),@yasue_funayama0,3283
25,大谷ゆりこ@国民民主党大阪府連副代表,@YurikoOtani,3102
26,江東区議会議員二瓶文隆,@NiheiFumitaka,2964
27,いしいともえ【衆議院愛媛1区（松山市）】国民民主党公認候補予定者,@tomoekakuda,2806
28,岡たかし行政書士VISA申請☀️大田区長選挙/大田区議選特集note配信/おか高志,@okatakashi_oota,2797
29,かわい たかのり(国民民主党・参議院議員),@T_KAWAI_SANGIIN,2787
30,深作ゆい（横浜市都筑区・国民民主党）,@fukasakuyui,2760
31,田中けん🍵衆議院議員🍵静岡4区🍵国民民主党,@tanaka_shizuoka,2658
32,斎藤アレックス（国民民主党🐰衆議院議員）,@AlexSaito2019,2618
33,あさの克彦　埼玉4区 #比例は国民民主党,@katsuhikoasano,2505
34,竹詰 ひとし（参議院議員・比例代表選出）,@Takezume_H,2382
35,山崎まや,@YamazakiMaya,2348
36,鈴木あつし｜国民民主党・衆議院議員,@suzukiatsushi_,2136
37,Kisuzu 🎀 淀きすず【ガールズユニットMEiSM】【 国民民主党 #東かがわ市 】,@Kisuzu_udon,2091
38,大田京子／国民民主党福岡県連 代表,@kyoko_ohta,2084
39,伊藤ひでお(岐阜県議会議員 可児市・御嵩町・国民民主党),@hideo_ito,1986
40,嘉田由紀子,@kadayukiko,1975
41,吉村大志郎（旧Shiro）_宮崎県議選2023・国民民主党公認候補予定者,@Shiro117385631,1956
42,はが道也（芳賀道也）＠山形,@hagamichiya,1943
43,いそざき哲史（国民民主党　参議院議員）,@IsozakiTetsuji,1912
44,中谷あやの🐰国民民主党公認候補予定者🐰船橋市議会,@nakataniayano,1845
45,榎本れい🐰国民民主党公認候補予定者(千葉県議会議員選挙),@ReiEnomoto,1814
46,見矢木すえん_横浜市神奈川区 国民民主党から令和5年横浜市政改革に挑戦,@Miyagi_Suen,1790
47,岡野純子　国民民主党千葉県第5区総支部 総支部長,@junko_okano,1775
48,いそべ 裕和【千葉県議４期・国民民主党】,@hiro914,1609
49,長谷川たかこ,@hasegawa_takako,1580
50,国民民主党東京都連,@dpfptokyo,1564
51,みさわひろと@2023長岡市議会に挑戦！,@New__wind,1511
52,浜野よしふみ（参議院議員・比例代表選挙選出）,@hamanoyoshifumi,1419
53,坂元ゆうき【国民民主党】@目黒区,@rurukisakamoto,1408
54,高沢かずもと,@takazawa1,1321
55,岩田 浩岳@島根県議会議員,@IwataHirotaka,1308
56,橋本みきひこ:千葉県議会議員選挙成田市選挙区,@Hashimoto_Mkhk,1274
57,国民民主党・大阪府連,@kokumin_osaka,1232
58,さとう由美（国民民主党衆議院東京第24区総支部長）DPFP衆議院候補予定者,@yumibetterworld,1190
59,うすきひでたけ／国民民主党北海道連代表,@hide_usuki,1154
60,中山真珠🫧【静岡市清水区】,@shinju_nakayama,1150
61,関口太一,@SekiguchiTaichi,1133
62,国民民主党北海道総支部連合会,@KokuminHokkaido,1088
63,国民民主党山形県連,@gokokuminymgt,1042
64,石黒たつお（練馬区議会議員　国民民主党）,@ishiguronerima,994
65,恒吉ひろゆき🐰国民民主党公認・市議にチャレンジ,@nakahi,965
66,足立信也と安心な日本を創る会,@shinya8484,959
67,榎本あゆみ＠港区議会議員,@enoayu_minato,940
68,超国民民主党滋賀県連★ミ,@dpfp_shiga,934
69,国民民主党島根県総支部連合会,@dpfp_shimane,916
70,友保 陽子/Yoko Tomoyasu,@tomoyan_yoko,906
71,国民民主党栃木県総支部連合会,@dp_tochigi,901
72,元衆議院議員　高橋みほ(高橋美穂),@mihojimukyoku,892
73,小牧市議会議員 小川まゆみ,@mayumi_ogawa,886
74,ひちわ真理子🐰国民民主党　八千代市議会議員（仮）,@mariko_hichiwa,852
75,梶原英樹🔥 山科の未来へ出発進行🚃,@kajiwarahideki,851
76,黒田太郎@愛知県議会議員【公式】,@kuroda__taro,842
77,国民民主党香川県総支部連合会,@kagawakokumin,838
78,鴇田敦,@tokita812,817
79,鈴木ゆうま,@suzuki_yuma1009,815
80,国民民主党和歌山県総支部連合会,@minshuwakayama,812
81,吉野正人(目黒区議会議員),@yoshinomasato,801
82,国民民主党長崎県連,@kokumin_ngsk,799
83,国民民主党神奈川県総支部連合会,@kokumin_kng,778
84,「わたなべひろゆき」オネエでもやれば出来る‼️,@one_ehime,775
85,福岡県議会議員 守谷正人,@masatomoriya,717
86,国民民主党宮崎県連_第1区総支部@宮崎市,@dpfpmiyazaki1,679
87,おくだ晋一☀️国民民主党公認候補予定者【名古屋市西区】,@okuda_shinichi,679
88,興津秀憲（おきつひでのり）,@okitsutokyo,665
89,長友しんじ,@nagatomoshinji,657
90,鎌田やすはる＠国民民主党 和光市政策委員,@KamadaYasuharu,634
91,国民民主党 濱田知明　東京都北区政策委員,@kokuminhodo,627
92,丹野みどり,@tannomidori,627
93,中野ヘンリ【国民民主党🐰　江戸川区議会議員候補予定者】,@Henry66239746,618
94,国民民主党福岡県連,@kokumin_fukuoka,612
95,国民民主党愛知県総支部連合会,@kokumin_aichi_,596
96,野田きよし @国民民主党福岡県連 (福岡市博多区担当) - 市政に挑戦!!,@kokumin_kuma,593
97,黒澤三千夫,@kurokumagaya,588
98,国民民主党山梨県連,@minshin_y,587
99,国民民主党福島県総支部連合会,@f7SYmFBYMivVBCE,584
100,国民民主党大分県連,@KokuminOita,562
101,丸山幸一郎(広島市安佐南区),@maru_ko_enkai,554
102,国民民主党徳島県総支部連合会,@kokumin_tks,539
103,前川こうき【25歳　国民民主党🐰　高松市議会議員選挙　公認候補予定者】,@maekawa190,536
104,石田しんご（前品川区議会議員）,@Ishida_shingo51,530
105,野村美穂,@nomuramiho3434,529
106,はぎわら一樹　国民民主党公認候補予定者【船橋市議会】,@KHagi_Funabashi,527
107,岩崎さやこ(国民民主党東久留米市政策委員),@IwasakiIwamo,527
108,小川陽平＠国民民主党【札幌市中央区】,@yoheiogawa_DPFP,515
109,山野井隆,@yamanoitakashi,494
110,島貫 宏幸,@hiroyukishiman1,493
111,中村健太郎🐰国民民主党公認候補予定者【田原市議会議員選挙】,@nkm27,491
112,山本 武志(敦賀市議会議員),@Yamatake914,490
113,あさおか志麻@国民民主党公認候補予定者(愛媛県議会),@mirailabo0913,480
114,国民民主党 国会情報,@DPFP_DietInfo,479
115,菊池大二郎 山形県議会議員 Kikuchi Daijiro,@KikuchiDaijiro,467
116,高安ひろあき（茨城県議会議員),@Takayasuhiro329,454
117,白岩正三,@shiraiwa_net,445
118,小笠原 浩,@oga1227,445
119,国民民主党福井県総支部連合会,@kokumin_fukui,444
120,松本れいこ／福岡市西区,@reiko_mtsmt,433
121,おちたつや（越智 辰哉）,@ochitatsuya0711,427
122,前田強(国民民主党高知県連),@maetsuyoshi,415
123,とみやま勝之(冨山勝之)常総市,@tomiyama_ka,411
124,いしいともえ【衆議院・愛媛１区】国民民主党,@t_kakuda,367
125,軽石義則,@karuishi_y,366
126,大足　光司,@koji_oashi,365
127,二川 ひでとし (茨城県議会議員),@hide_futakawa,350
