,name,screen_name,followers_count
0,橋下徹,@hashimoto_lo,2689594
1,玉木雄一郎（国民民主党代表）,@tamakiyuichiro,295645
2,菅野志桜里,@ShioriYamao,106966
3,国民民主党,@DPFPnews,55690
4,前原誠司,@Maehara2016,36057
5,上松 正和🎍,@Uematsu1987,26792
6,矢田わか子／前参議院議員（国民民主党）,@wako0501,22540
7,大塚耕平,@kouhei1005mon,22523
8,伊藤たかえ（国民民主党 参議院議員）,@itotakae0630,16791
9,岸本周平,@shuheikishimoto,12708
10,古川元久 (Moto Furukawa),@Fullgen,10602
11,深作 ヘスス（国民民主党神奈川19区総支部長）,@FukasakuKj,7723
12,浅野さとし🌿衆議院議員 | 茨城5区(日立市・高萩市・北茨城市・東海村),@Asano__Satoshi,6850
13,参議院議員 榛葉賀津也,@SHIMBA_OFFICE,6440
14,やったるい！ たるい良和【 国民民主党 】,@tarui_yoshikazu,5562
15,田村まみ(参議院議員、国民民主党 新緑風会派),@mamitamuratw,5332
16,円より子(まどかよりこ) 国民民主党 衆議院 東京都17区(葛飾区全域),@madokayoriko,4144
17,はまぐち誠(国民民主党　参議院議員　浜口誠　比例代表),@HamaMako0518,4128
18,石崎ひでゆき🐰国民民主党公認候補予定者（市川市議会議員選挙）,@h_ishizaki,3973
19,加藤健一 空飛ぶ車いす社長,@kenbo_yamagata,3932
20,中村たいすけ | 長崎県議会議員（長崎市選挙区・国民民主党）,@taisuke_nkmr,3817
21,大内 一也（国民民主党山口県連）,@ouchi_kazuya,3524
22,梅津ようせい 山形県議会議員,@umetsuyosei,3445
23,舟山やすえ(参議院議員),@yasue_funayama0,3292
24,大谷ゆりこ@国民民主党大阪府連副代表,@YurikoOtani,3096
25,深作ゆい（横浜市都筑区・国民民主党）,@fukasakuyui,3042
26,江東区議会議員二瓶文隆,@NiheiFumitaka,2970
27,いしいともえ【衆議院愛媛1区（松山市）】国民民主党公認候補予定者,@tomoekakuda,2835
28,岡たかし行政書士VISA申請☀️大田区長選挙/大田区議選特集note配信/おか高志,@okatakashi_oota,2806
29,かわい たかのり(国民民主党・参議院議員),@T_KAWAI_SANGIIN,2791
30,田中けん🍵衆議院議員🍵静岡4区🍵国民民主党,@tanaka_shizuoka,2660
31,斎藤アレックス（国民民主党🐰衆議院議員）,@AlexSaito2019,2622
32,あさの克彦　埼玉4区 #比例は国民民主党,@katsuhikoasano,2488
33,竹詰 ひとし（参議院議員・比例代表選出）,@Takezume_H,2404
34,山崎まや,@YamazakiMaya,2347
35,鈴木あつし｜国民民主党・衆議院議員,@suzukiatsushi_,2171
36,Kisuzu 🎀 淀きすず【ガールズユニットMEiSM】【 国民民主党 #東かがわ市 】,@Kisuzu_udon,2135
37,大田京子／国民民主党福岡県連 代表,@kyoko_ohta,2089
38,伊藤ひでお(岐阜県議会議員 可児市・御嵩町・国民民主党),@hideo_ito,2011
39,吉村大志郎（旧Shiro）_宮崎県議選2023・国民民主党公認候補予定者,@Shiro117385631,1984
40,嘉田由紀子,@kadayukiko,1983
41,はが道也（芳賀道也）＠山形,@hagamichiya,1947
42,いそざき哲史（国民民主党　参議院議員）,@IsozakiTetsuji,1922
43,見矢木すえん_横浜市神奈川区 国民民主党から令和5年横浜市政改革に挑戦,@Miyagi_Suen,1914
44,中谷あやの🐰国民民主党公認候補予定者🐰船橋市議会,@nakataniayano,1900
45,榎本れい🐰国民民主党公認候補予定者(千葉県議会議員選挙),@ReiEnomoto,1888
46,岡野純子　国民民主党千葉県第5区総支部 総支部長,@junko_okano,1847
47,橋本みきひこ:千葉県議会議員選挙成田市選挙区,@Hashimoto_Mkhk,1634
48,いそべ 裕和【千葉県議４期・国民民主党】,@hiro914,1606
49,長谷川たかこ,@hasegawa_takako,1589
50,国民民主党東京都連,@dpfptokyo,1582
51,みさわひろと@2023長岡市議会に挑戦！,@New__wind,1545
52,坂元ゆうき【国民民主党】@目黒区,@rurukisakamoto,1433
53,浜野よしふみ（参議院議員・比例代表選挙選出）,@hamanoyoshifumi,1424
54,あべ力也(世田谷区議会議員),@abe_rikiya,1329
55,高沢かずもと,@takazawa1,1321
56,岩田 浩岳@島根県議会議員,@IwataHirotaka,1309
57,国民民主党・大阪府連,@kokumin_osaka,1235
58,中山真珠🫧【静岡市清水区】,@shinju_nakayama,1211
59,さとう由美（国民民主党衆議院東京第24区総支部長）DPFP衆議院候補予定者,@yumibetterworld,1193
60,うすきひでたけ／国民民主党北海道連代表,@hide_usuki,1169
61,関口太一,@SekiguchiTaichi,1131
62,国民民主党北海道総支部連合会,@KokuminHokkaido,1100
63,国民民主党山形県連,@gokokuminymgt,1048
64,恒吉ひろゆき🐰国民民主党公認・市議にチャレンジ,@nakahi,1031
65,石黒たつお（練馬区議会議員　国民民主党）,@ishiguronerima,999
66,足立信也と安心な日本を創る会,@shinya8484,958
67,榎本あゆみ＠港区議会議員,@enoayu_minato,947
68,超国民民主党滋賀県連★ミ,@dpfp_shiga,943
69,山根ふみ子-埼玉県議会議員（川越選出/埼玉民主フォーラム）,@yamanefumikogm1,926
70,国民民主党島根県総支部連合会,@dpfp_shimane,917
71,友保 陽子/Yoko Tomoyasu,@tomoyan_yoko,913
72,ひちわ真理子🐰国民民主党　八千代市議会議員,@mariko_hichiwa,902
73,国民民主党栃木県総支部連合会,@dp_tochigi,900
74,元衆議院議員　高橋みほ(高橋美穂),@mihojimukyoku,894
75,小牧市議会議員 小川まゆみ,@mayumi_ogawa,890
76,鈴木ゆうま（国民民主党　西東京市議会議員）,@suzuki_yuma1009,872
77,梶原英樹🔥 山科の未来へ出発進行🚃,@kajiwarahideki,856
78,黒田太郎@愛知県議会議員【公式】,@kuroda__taro,856
79,国民民主党香川県総支部連合会,@kagawakokumin,843
80,国民民主党和歌山県総支部連合会,@minshuwakayama,811
81,国民民主党長崎県連,@kokumin_ngsk,806
82,鴇田敦,@tokita812,805
83,吉野正人(目黒区議会議員),@yoshinomasato,804
84,岩崎さやこ(国民民主党東久留米市政策委員),@IwasakiIwamo,795
85,国民民主党神奈川県総支部連合会,@kokumin_kng,783
86,「わたなべひろゆき」オネエでもやれば出来る‼️,@one_ehime,780
87,小椋直樹(野田市会議員),@NaokiOgura_noda,773
88,福岡県議会議員 守谷正人,@masatomoriya,720
89,鎌田やすはる＠国民民主党 和光市政策委員,@KamadaYasuharu,703
90,😃国民民主党 濱田知明　東京都北区政策委員,@kokuminhodo,695
91,国民民主党宮崎県連_第1区総支部@宮崎市,@dpfpmiyazaki1,694
92,おくだ晋一☀️国民民主党公認候補予定者【名古屋市西区】,@okuda_shinichi,691
93,長友しんじ,@nagatomoshinji,686
94,興津秀憲（おきつひでのり）,@okitsutokyo,670
95,中野ヘンリ【国民民主党🐰　江戸川区議会議員候補予定者】,@Henry66239746,658
96,丹野みどり,@tannomidori,651
97,野田きよし @国民民主党福岡県連 (福岡市博多区担当) - 市政に挑戦!!,@kokumin_kuma,645
98,国民民主党福岡県連,@kokumin_fukuoka,632
99,流山市議 藤井としゆき,@fujii_toshiyuki,624
100,国民民主党愛知県総支部連合会,@kokumin_aichi_,609
101,黒澤三千夫,@kurokumagaya,591
102,国民民主党山梨県連,@minshin_y,589
103,はぎわら一樹　国民民主党公認候補予定者【船橋市議会】,@KHagi_Funabashi,585
104,国民民主党福島県総支部連合会,@f7SYmFBYMivVBCE,583
105,前川こうき【25歳　国民民主党🐰　高松市議会議員選挙　公認候補予定者】,@maekawa190,569
106,丸山幸一郎(広島市安佐南区),@maru_ko_enkai,558
107,国民民主党大分県連,@KokuminOita,556
108,国民民主党徳島県総支部連合会,@kokumin_tks,552
109,中村健太郎🐰国民民主党公認候補予定者【田原市議会議員選挙】,@nkm27,548
110,小川陽平＠国民民主党【札幌市中央区】,@yoheiogawa_DPFP,535
111,野村美穂,@nomuramiho3434,532
112,石田しんご（前品川区議会議員）,@Ishida_shingo51,531
113,山本 武志(敦賀市議会議員),@Yamatake914,509
114,山野井隆,@yamanoitakashi,503
115,あさおか志麻@国民民主党公認候補予定者(愛媛県議会),@mirailabo0913,503
116,島貫 宏幸,@hiroyukishiman1,496
117,国民民主党 国会情報,@DPFP_DietInfo,483
118,菊池大二郎 山形県議会議員 Kikuchi Daijiro,@KikuchiDaijiro,471
119,二井 くみよ (横浜市会議員・磯子区),@futaikumiyo,469
120,高安ひろあき（茨城県議会議員),@Takayasuhiro329,465
121,とみやま勝之(冨山勝之)常総市,@tomiyama_ka,456
122,松本れいこ（福岡市西区・国民民主党）,@reiko_mtsmt,452
123,小笠原 浩【坂出市議会議員】,@oga1227,451
124,白岩正三,@shiraiwa_net,449
