,name,screen_name,followers_count
0, 橋下徹,@hashimoto_lo,2690683
1, 玉木雄一郎（国民民主党代表）,@tamakiyuichiro,289992
2, 菅野志桜里,@ShioriYamao,107313
3, 国民民主党,@DPFPnews,54972
4, 前原誠司,@Maehara2016,35600
5, 大塚耕平,@kouhei1005mon,22482
6, 矢田わか子／前参議院議員（国民民主党）,@wako0501,21413
7, 伊藤たかえ（国民民主党 参議院議員）,@itotakae0630,16594
8, 古川元久 (Moto Furukawa),@Fullgen,10573
9, 深作 ヘスス（国民民主党衆議院神奈川19区総支部長）,@FukasakuKj,7556
10, 浅野さとし🌿衆議院議員 | 茨城5区(日立市・高萩市・北茨城市・東海村),@Asano__Satoshi,6604
11, 参議院議員 榛葉賀津也,@SHIMBA_OFFICE,6370
12, やったるい！ たるい良和【 国民民主党 】,@tarui_yoshikazu,5498
13, 田村まみ(参議院議員、国民民主党 新緑風会派),@mamitamuratw,4862
14, はまぐち誠(国民民主党　参議院議員　浜口誠　比例代表),@HamaMako0518,3883
15, 舟山やすえ(参議院議員),@yasue_funayama0,3259
16, かわい たかのり(国民民主党・参議院議員),@T_KAWAI_SANGIIN,2741
17, いしいともえ【衆議院・愛媛1区】国民民主党公認候補予定者,@tomoekakuda,2735
18, 田中けん🍵衆議院議員🍵静岡4区🍵国民民主党,@tanaka_shizuoka,2638
19, 斎藤アレックス（国民民主党🐰衆議院議員）,@AlexSaito2019,2573
20, 竹詰 ひとし（参議院議員・比例代表選出）,@Takezume_H,2361
21, 鈴木あつし｜国民民主党・衆議院議員,@suzukiatsushi_,2058
22, いそざき哲史（国民民主党　参議院議員）,@IsozakiTetsuji,1854
23, 浜野よしふみ（参議院議員・比例代表選挙選出）,@hamanoyoshifumi,1385
24, うすきひでたけ／国民民主党北海道連代表,@hide_usuki,1129
25, 中山真珠【静岡市清水区】,@shinju_nakayama,925
26, ひちわ　真理子,@mariko_hichiwa,706
27, 長友しんじ,@nagatomoshinji,608
28, 丹野みどり,@tannomidori,566
29, 軽石義則,@karuishi_y,351
