,name,screen_name,followers_count
0,橋下徹,@hashimoto_lo,2689652
1,玉木雄一郎（国民民主党代表）,@tamakiyuichiro,294980
2,菅野志桜里,@ShioriYamao,107081
3,国民民主党,@DPFPnews,55390
4,前原誠司,@Maehara2016,36008
5,上松 正和🎍,@Uematsu1987,26775
6,大塚耕平,@kouhei1005mon,22509
7,矢田わか子／前参議院議員（国民民主党）,@wako0501,21760
8,鎌田桂輔☀️Keisuke Kamada,@keisukekamada01,21107
9,伊藤たかえ（国民民主党 参議院議員）,@itotakae0630,16702
10,岸本周平,@shuheikishimoto,12674
11,古川元久 (Moto Furukawa),@Fullgen,10593
12,深作 ヘスス（国民民主党神奈川19区総支部長）,@FukasakuKj,7680
13,浅野さとし🌿衆議院議員 | 茨城5区(日立市・高萩市・北茨城市・東海村),@Asano__Satoshi,6815
14,参議院議員 榛葉賀津也,@SHIMBA_OFFICE,6424
15,やったるい！ たるい良和【 国民民主党 】,@tarui_yoshikazu,5547
16,田村まみ(参議院議員、国民民主党 新緑風会派),@mamitamuratw,5252
17,円より子(まどかよりこ) 国民民主党 衆議院 東京都17区(葛飾区全域),@madokayoriko,4145
18,はまぐち誠(国民民主党　参議院議員　浜口誠　比例代表),@HamaMako0518,4112
19,加藤健一 空飛ぶ車いす社長,@kenbo_yamagata,3933
20,石崎ひでゆき🐰国民民主党公認候補予定者（市川市議会議員選挙）,@h_ishizaki,3913
21,中村たいすけ | 長崎県議会議員（長崎市選挙区・国民民主党）,@taisuke_nkmr,3798
22,大内 一也（国民民主党山口県連）,@ouchi_kazuya,3522
23,梅津ようせい 山形県議会議員,@umetsuyosei,3444
24,舟山やすえ(参議院議員),@yasue_funayama0,3288
25,大谷ゆりこ@国民民主党大阪府連副代表,@YurikoOtani,3098
26,江東区議会議員二瓶文隆,@NiheiFumitaka,2962
27,深作ゆい（横浜市都筑区・国民民主党）,@fukasakuyui,2857
28,いしいともえ【衆議院愛媛1区（松山市）】国民民主党公認候補予定者,@tomoekakuda,2813
29,岡たかし行政書士VISA申請☀️大田区長選挙/大田区議選特集note配信/おか高志,@okatakashi_oota,2798
30,かわい たかのり(国民民主党・参議院議員),@T_KAWAI_SANGIIN,2792
31,田中けん🍵衆議院議員🍵静岡4区🍵国民民主党,@tanaka_shizuoka,2659
32,斎藤アレックス（国民民主党🐰衆議院議員）,@AlexSaito2019,2620
33,あさの克彦　埼玉4区 #比例は国民民主党,@katsuhikoasano,2497
34,竹詰 ひとし（参議院議員・比例代表選出）,@Takezume_H,2381
35,山崎まや,@YamazakiMaya,2350
36,鈴木あつし｜国民民主党・衆議院議員,@suzukiatsushi_,2147
37,Kisuzu 🎀 淀きすず【ガールズユニットMEiSM】【 国民民主党 #東かがわ市 】,@Kisuzu_udon,2114
38,大田京子／国民民主党福岡県連 代表,@kyoko_ohta,2081
39,伊藤ひでお(岐阜県議会議員 可児市・御嵩町・国民民主党),@hideo_ito,1981
40,吉村大志郎（旧Shiro）_宮崎県議選2023・国民民主党公認候補予定者,@Shiro117385631,1977
41,嘉田由紀子,@kadayukiko,1973
42,はが道也（芳賀道也）＠山形,@hagamichiya,1945
43,いそざき哲史（国民民主党　参議院議員）,@IsozakiTetsuji,1915
44,中谷あやの🐰国民民主党公認候補予定者🐰船橋市議会,@nakataniayano,1861
45,榎本れい🐰国民民主党公認候補予定者(千葉県議会議員選挙),@ReiEnomoto,1855
46,岡野純子　国民民主党千葉県第5区総支部 総支部長,@junko_okano,1807
47,見矢木すえん_横浜市神奈川区 国民民主党から令和5年横浜市政改革に挑戦,@Miyagi_Suen,1801
48,いそべ 裕和【千葉県議４期・国民民主党】,@hiro914,1605
49,長谷川たかこ,@hasegawa_takako,1581
50,国民民主党東京都連,@dpfptokyo,1564
51,みさわひろと@2023長岡市議会に挑戦！,@New__wind,1523
52,浜野よしふみ（参議院議員・比例代表選挙選出）,@hamanoyoshifumi,1418
53,坂元ゆうき【国民民主党】@目黒区,@rurukisakamoto,1415
54,あべ力也(世田谷区議会議員),@abe_rikiya,1324
55,高沢かずもと,@takazawa1,1319
56,橋本みきひこ:千葉県議会議員選挙成田市選挙区,@Hashimoto_Mkhk,1318
57,岩田 浩岳@島根県議会議員,@IwataHirotaka,1309
58,国民民主党・大阪府連,@kokumin_osaka,1233
