,name,screen_name,followers_count
0,橋下徹,@hashimoto_lo,2689664
1,玉木雄一郎（国民民主党代表）,@tamakiyuichiro,295033
2,菅野志桜里,@ShioriYamao,107081
3,国民民主党,@DPFPnews,55390
4,前原誠司,@Maehara2016,36009
5,上松 正和🎍,@Uematsu1987,26777
6,大塚耕平,@kouhei1005mon,22505
7,矢田わか子／前参議院議員（国民民主党）,@wako0501,21761
8,鎌田桂輔☀️Keisuke Kamada,@keisukekamada01,21105
9,伊藤たかえ（国民民主党 参議院議員）,@itotakae0630,16702
10,岸本周平,@shuheikishimoto,12672
11,古川元久 (Moto Furukawa),@Fullgen,10593
12,深作 ヘスス（国民民主党神奈川19区総支部長）,@FukasakuKj,7678
13,浅野さとし🌿衆議院議員 | 茨城5区(日立市・高萩市・北茨城市・東海村),@Asano__Satoshi,6812
14,参議院議員 榛葉賀津也,@SHIMBA_OFFICE,6424
15,やったるい！ たるい良和【 国民民主党 】,@tarui_yoshikazu,5545
16,田村まみ(参議院議員、国民民主党 新緑風会派),@mamitamuratw,5253
17,円より子(まどかよりこ) 国民民主党 衆議院 東京都17区(葛飾区全域),@madokayoriko,4145
18,はまぐち誠(国民民主党　参議院議員　浜口誠　比例代表),@HamaMako0518,4108
19,加藤健一 空飛ぶ車いす社長,@kenbo_yamagata,3932
20,石崎ひでゆき🐰国民民主党公認候補予定者（市川市議会議員選挙）,@h_ishizaki,3915
21,中村たいすけ | 長崎県議会議員（長崎市選挙区・国民民主党）,@taisuke_nkmr,3798
22,大内 一也（国民民主党山口県連）,@ouchi_kazuya,3524
23,梅津ようせい 山形県議会議員,@umetsuyosei,3443
24,舟山やすえ(参議院議員),@yasue_funayama0,3287
25,大谷ゆりこ@国民民主党大阪府連副代表,@YurikoOtani,3097
26,江東区議会議員二瓶文隆,@NiheiFumitaka,2962
27,深作ゆい（横浜市都筑区・国民民主党）,@fukasakuyui,2863
28,いしいともえ【衆議院愛媛1区（松山市）】国民民主党公認候補予定者,@tomoekakuda,2811
